,x,y,w,h,gray,label
3248,300,182.63,96.47,24.62,74.13,1
3249,358.5,400,67,18,133.39,0
3249,304.5,181,93,24,163.02,1
3249,383.5,112,51,24,146.36,0
3250,314,264.5,86,23,54.07,1
3250,189.5,239.5,77,37,83.12,0
3250,40,238.5,80,37,194.74,0
3250,60,200.5,120,31,202.92,0
3250,391.5,191,69,22,146.1,0
3251,414.5,361,61,24,96.79,0
3251,289,219.5,94,23,70.77,1
3252,375,199,108,26,54.89,1
3252,377.5,26,103,48,70.27,0
3253,237,176.5,92,23,76.04,1
3253,393,173,58,26,81.41,0
3253,329.5,144,59,26,70.38,0
3253,139.5,131,77,34,127.76,0
3253,232,94,114,26,90.7,0
3253,423,93,66,26,61.78,0
3253,32.5,32,65,32,156.95,0
3254,290,215,92,20,127.56,1
3255,265,187,88,20,96.34,1
3256,339,195,58,20,169.26,0
3256,201.5,194.5,95,25,82.55,1
3256,375.5,147,53,20,73.2,0
3257,209,292,80,24,109.55,1
3257,425.5,171,79,24,154.32,0
3257,35.5,119.5,71,29,126.7,0
3257,60.2,75.25,106.39,44.71,154.47,0
3258,391.5,436.5,77,37,72.5,0
3258,297.39,402.19,92.69,33.56,126.1,0
3258,127,254,68,18,71.01,0
3258,240.05,229,84.61,29.55,139.78,1
3258,143.5,17,111,34,227.18,0
3259,246.5,203.5,111,27,39.59,1
3259,131.5,178.5,61,23,100.08,0
3260,157.5,224,89,26,132.12,0
3260,254,226,92,32,160.2,1
3261,219.5,372,67,26,70.12,0
3261,218,219,106,22,36.42,1
3261,428.5,12.5,101,25,102.28,0
3262,229,201.5,94,23,103.1,1
3263,268.5,166,145,30,84,1
3263,448.5,99,61,26,187.9,0
3263,386,90,54,26,190.34,0
3264,268,225.5,80,21,94.43,1
3264,248.5,199.5,89,25,108.56,0
3265,196.5,151,91,20,85.44,1
3265,62.5,65,111,32,178.05,0
3266,342.5,468.5,51,21,13.58,0
3266,44.86,253.99,103.42,50.9,136.5,0
3266,230.48,230.95,105.49,23.73,95.77,1
3267,236.5,144.5,73,19,89.4,1
3267,371.5,15.5,67,31,249.95,0
3268,80.5,316.5,55,23,134.66,0
3268,249,245.5,102,25,124.77,1
3268,152.5,206.5,61,25,168.42,0
3269,261.5,200.5,83,39,87.11,1
3269,443,14.5,72,29,95.76,0
3270,215,222.5,102,25,99.64,1
3270,173,140.5,52,23,178.12,0
3271,294,231,82,22,67.62,1
3272,313,225.5,72,27,104.17,1
3273,252.5,232.5,87,23,105.78,1
3273,38.5,39,55,24,179.15,0
3274,239.5,241.5,101,23,70.94,1
3274,278,54.5,66,25,184.61,0
3275,286.5,186,83,22,174.18,1
3275,373,162,50,22,161.07,0
3275,161.5,153.5,131,45,78.55,0
3275,287.5,128,99,30,170.42,0
3275,12,64,50,24,69.08,0
3275,353,11,54,22,153.71,0
3276,301.5,217.5,79,27,95.83,1
3277,95.5,463,85,32,106.78,0
3277,151.5,360,53,22,96.78,0
3277,169.5,333,55,24,67.48,0
3277,253.5,215,89,24,71.99,1
3277,159.28,185.67,92.45,34.96,121.56,0
3277,275.5,119,83,22,113.56,0
3278,246,189,76,26,54.99,1
3278,356,74.5,50,23,122.05,0
3279,193,362.5,56,21,8.5,0
3279,378.58,286.95,89.13,37.35,47,0
3279,308.5,149.5,91,23,22.94,1
3279,177.5,106.5,61,21,40.99,0
3279,398,97,56,22,14.71,0
3279,221,62,78,26,42.19,0
3279,340,60.5,110,37,21.73,0
3279,440,53,74,30,12.72,0
3279,307.5,25,79,32,26.17,0
3280,35.5,365.5,51,21,220.17,0
3280,320.62,223.3,96.76,27,73.15,1
3280,362,172.5,84,21,128.52,0
3281,225.5,203.5,107,25,95.27,1
3281,134,193.5,60,23,149.28,0
3281,283.5,34,71,30,140.17,0
3281,214,12,58,24,109.57,0
3282,210.5,228.5,79,25,137.2,1
3282,64,222,50,24,32.35,0
3283,269.5,145,89,24,114.26,1
3284,274.9,217.04,108.63,37.18,23.76,1
3284,102.5,143.5,99,37,145.93,0
3285,126.5,430.5,87,31,237.94,0
3285,341,176.5,58,19,137.86,0
3285,164.5,153.5,63,21,34.99,1
3285,146.14,121.53,133.45,29.14,67.74,0
3285,390,105,56,24,137.47,0
3285,299.5,100,59,28,138.6,0
3286,243.5,324.5,61,25,152.26,0
3286,296.5,135,93,24,159.09,1
3286,320.5,84,103,38,202.78,0
3287,209.5,214.5,91,29,68.58,1
3287,37.72,171.39,83.31,30.98,187.45,0
3288,215.5,225.5,89,31,128.73,1
3288,356.5,204.5,67,31,16.2,0
3288,453.5,51,51,24,68.2,0
3289,232.57,181.68,105.74,23.73,112.29,1
3290,10.5,415.5,53,21,61.44,0
3290,237,242,74,28,84.64,1
3290,323,227.5,76,31,140.64,0
3290,92.5,9.5,81,19,203.26,0
3291,215,340.5,64,23,117.58,0
3291,203,169.5,76,25,76.92,1
3291,90.5,156,65,22,154.3,0
3291,159.5,19.5,105,21,168.2,0
3292,204,250,82,22,111.71,1
3292,50.52,153.87,75.51,23.14,21.74,0
3292,159,158.5,136,41,90.99,0
3292,284,102,80,30,17.31,0
3292,91.81,100.53,115.72,52.39,44.98,0
3292,184.87,85.79,107.04,42.66,101.74,0
3292,180.5,12.5,55,25,150.1,0
3292,72.5,19,133,38,113.43,0
3293,242,319,96,44,124.86,0
3293,222,179.93,88.83,23.32,52.64,1
3293,246,145,108,32,81.97,0
3294,226.5,226,97,24,56.07,1
3294,316.5,171.5,79,33,39.73,0
3295,291.5,153,87,20,129.23,1
3296,247.08,199.25,81.18,22.44,28.16,1
3296,388,176,124,38,133.3,0
3296,209,64.5,88,41,152.82,0
3297,276.5,466,63,24,109.27,0
3297,358,393,114,48,132.34,0
3297,145,355,56,20,86.43,0
3297,223.76,352.84,98.38,39.48,130.49,0
3297,202.5,216,79,26,209.89,1
3297,90,133,48,22,186.14,0
3298,236,227.5,88,25,74.63,1
3298,249.5,21,73,34,197.77,0
3299,425.5,404,107,38,35.27,0
3299,319.5,157.5,85,23,99.12,1
3300,419.15,264.45,159.83,44.9,64.75,0
3300,191,219,116,30,61.53,1
3300,439.5,13,69,26,127.44,0
3301,284.5,369.5,53,21,59.6,0
3301,208,230,92,24,64.56,1
3301,67.86,169.23,100.77,30,87.81,0
3302,190,406,58,24,39.06,0
3302,347.5,262,67,20,130.1,0
3302,231.5,151,123,26,112.2,1
3302,132,146.5,68,23,174.1,0
3302,141.01,97.65,90.12,29.22,168.42,0
3303,237,241,88,24,55.12,1
3303,401,191.5,62,27,137.75,0
3303,335.5,165.9,87.61,25.77,131.52,0
3303,46,144,92,24,159.09,0
3303,223.5,133,87,32,164.78,0
3303,55,108,66,28,117.58,0
3304,162,224.5,92,35,61.44,1
3304,203.58,189.2,146.15,49.07,46.87,0
3304,363.5,75,77,30,170.53,0
3305,64.5,432,61,28,95.53,0
3305,258.5,226,95,22,13.54,1
3305,115,190,76,36,105.7,0
3305,57.5,142.5,115,45,152.73,0
3306,296,175,84,24,44.44,1
3307,219.5,465.5,55,27,44.01,0
3307,323,357,82,40,103.43,0
3307,278,240,92,28,111.95,1
3307,187.5,193.5,55,27,202.35,0
3307,428.5,83,53,22,129.7,0
3308,299.5,440,55,24,140.45,0
3308,342,392,88,28,158.95,0
3308,297.5,228.5,85,21,145.91,1
3308,159,127,70,30,113.61,0
3309,156.98,467.14,76.72,22.28,2.05,0
3309,161.5,230.5,93,21,71.76,1
3309,50,158,100,32,166.34,0
3310,221,216.5,80,25,165.64,1
3310,91.5,92.5,51,21,150.74,0
3311,267.5,440,71,30,62.22,0
3311,349.42,384.93,136.1,48.24,121.4,0
3311,243,201,102,28,64.09,1
3311,70,10.5,66,21,92.43,0
3312,198,286.5,56,21,110.14,0
3312,371.5,272.5,71,23,167.79,0
3312,261.01,222.05,90.48,25.61,76.94,1
3312,166.5,187,49,24,33.19,0
3312,406.5,138.5,53,25,149.37,0
3313,230,189.5,76,23,36.71,1
3313,199,9.5,86,19,168.32,0
3314,283.5,204.5,83,25,32.69,1
3314,442.5,175.5,73,31,110.91,0
3314,350,44.5,66,31,167.43,0
3314,454,68.5,107,50,140.49,0
3315,258,294,84,24,104.98,1
3315,350,283,78,28,100.8,0
3315,434,170,90,40,132.82,0
3316,139.35,164.53,163.34,42.35,130.58,1
3316,241.5,142,67,22,157.02,0
3317,303,324.5,90,25,160.04,0
3317,195.5,311,61,30,66.51,0
3317,411.52,212.47,94.15,36.2,144.19,0
3317,327,181,82,24,160.28,1
3317,182,124.5,70,29,69.17,0
3317,366.5,92,93,36,149.24,0
3317,284,45,52,24,167.89,0
3318,222.48,407.98,102.12,29.22,147.29,0
3318,241,356,56,26,158.1,0
3318,165.42,363.17,111.93,43.24,123.53,0
3318,209,283,88,34,145.42,0
3318,146.5,205,75,26,180.76,1
3318,33.32,150.39,75.95,31.3,49.66,0
3319,217,250.5,86,21,75.32,1
3320,127.5,192,93,24,190.93,1
3321,215.5,219,91,24,85.44,1
3321,349.5,162.5,77.1,29.1,127.36,0
3321,50.5,136.5,101,35,126.42,0
3321,262.5,108.5,57,25,102.27,0
3321,320,56,78,26,127.46,0
3321,232.43,57.21,89.19,30.06,108.26,0
3321,48,51,96,34,127.05,0
3321,109.5,20,137,40,123.88,0
3322,162.5,350.5,85,31,68.65,0
3322,144.5,317,77,30,54.05,0
3322,231.5,216.5,65,27,52.93,1
3322,426,66.5,58,23,197.52,0
3323,37.5,468,57,22,188.95,0
3323,375,466.5,104,25,42.76,0
3323,291.5,465.5,55,23,57.22,0
3323,67.5,384.5,61,23,175.92,0
3323,427.5,392.5,99,41,33.15,0
3323,272.5,229,109,34,33.48,1
3323,279.5,44.5,59,23,60.64,0
3324,227,201.5,90,23,85.88,1
3324,336,112,104,26,68.46,0
3325,223.5,440.5,75,31,125.81,0
3325,342,331,56,26,91.78,0
3325,239,209.5,88,37,54.89,1
3325,339.49,151.77,127.56,56.22,87.72,0
3326,400.5,377.5,79,33,195.44,0
3326,282,367.5,66,25,125.85,0
3326,49,209.5,80,33,75.93,0
3326,251.5,165,91,22,148.56,1
3326,127.5,77.5,79,31,194.29,0
3326,35,55.5,60,27,95.23,0
3326,257,15,118,30,203.68,0
3327,236,145.5,94,31,64.54,1
3327,118.5,137,69,22,125.05,0
3327,364,136.5,52,23,74.34,0
3327,39.5,139.5,79,31,240.24,0
3328,341,169,80,20,164.32,1
3328,289,122.5,62,25,192.68,0
3329,279.5,206.5,79,23,108.77,1
3330,37.5,453.5,67,25,80.49,0
3330,209.5,205,79,20,128.95,1
3330,358.5,165.5,125,45,168.62,0
3331,277,186,82,22,80.35,1
3332,423.18,259.65,105.37,42.9,121.2,0
3332,199.5,167.5,103,25,81.02,1
3332,425,21,108,42,142.08,0
3333,211,344,52,24,87.61,0
3333,342,300,70,28,188.85,0
3333,197.5,202,75,22,63.27,1
3333,348,144.5,68,31,88.72,0
3334,216.5,218.5,83,21,60.04,1
3334,48,85.5,62,21,157.88,0
3334,400.69,16.27,109.01,27.09,167.82,0
3335,248,186,78,32,117.44,1
3335,268,47,58,18,106.52,0
3336,279,201.5,86,25,199.22,1
3337,343.5,442.5,81,33,42.42,0
3337,165.5,364,63,30,64.93,0
3337,440,283.5,68,29,95.55,0
3337,223.98,216.83,111.19,27.03,64.86,1
3337,247,46,92,44,220.87,0
3337,448.5,15,61,30,190.26,0
3338,221,225,92,24,17.84,1
3339,268.5,209,83,20,88.54,1
3339,391.5,178.5,85,29,128.56,0
3339,309.17,80.48,88.84,33.19,125.03,0
3339,55.91,22.22,114.16,44.89,60.52,0
3340,303.5,138.5,107,21,103.98,1
3340,54.5,52.5,109,45,149.48,0
3340,148.5,12,67,24,135.12,0
3341,278.49,139.46,81.55,20.76,126.46,1
3342,143.96,173.7,90.48,26.65,178.62,1
3342,356,117,58,26,147.35,0
3343,243,167.46,134.6,27.75,122.41,1
3343,274.5,35,77,28,154.06,0
3344,252,223.5,104,23,100.53,1
3345,267.5,399,77,34,117.57,0
3345,359.5,192.5,59,21,76.26,0
3345,282.5,175,75,28,182.43,1
3345,37.5,98,75,26,30.21,0
3345,150.5,87.5,61,25,181.62,0
3346,47.99,290.35,88.74,37.35,139.15,0
3346,261,202,92,24,65.04,1
3346,355.5,189,57,24,110.35,0
3346,281,74.5,50,21,103.03,0
3347,238,209.5,88,25,31.06,1
3347,190.5,124,67,30,66.74,0
3348,244.61,218.93,107.77,29.47,26.75,1
3349,51,418,52,20,150.43,0
3349,308.5,210.5,73,33,59.73,0
3349,155.5,165,99,48,113.12,1
3349,199.5,84.5,63,25,143.47,0
3349,270.5,16,61,26,178.36,0
3350,226.5,214.5,91,27,104.86,1
3350,370.5,199,81,30,63.93,0
3350,402.5,99,61,26,64.75,0
3351,279,201.5,90,23,7.53,1
3351,144,144,54,24,108.36,0
3352,414,329.5,56,27,194.2,0
3352,306,242.5,118,27,61.86,1
3353,275.5,218.5,93,25,79.83,1
3353,126.5,149.12,89.63,23.49,190.75,0
3353,287.5,129,79,32,91.16,0
3354,273.5,187.5,87,25,37.61,1
3354,421.5,137.5,47,23,47.33,0
3354,123.89,135,98.31,35.22,207.63,0
3354,86,115.5,58,25,209.13,0
3354,254,19,92,38,235.13,0
3354,115,16.5,86,33,239.44,0
3355,271.5,230,77,22,109.84,1
3355,39,10.5,78,21,83.88,0
3356,327,161,86,28,153.9,1
3356,340.51,91.47,99.65,28.53,151.8,0
3356,346,38,70,28,148.57,0
3357,263.47,228.89,91.98,22.66,38.41,1
3358,244,208.5,76,21,63.17,1
3358,410.5,58.5,63,31,160,0
3359,246,166.5,104,23,112.76,1
3359,403,91.5,74,31,153.52,0
3359,324,85.5,80,33,165.42,0
3359,114,73.5,96,31,147.17,0
3359,259.5,13,91,26,221.48,0
3360,242,216,88,38,45.48,1
3360,150,145,60,24,129.1,0
3361,153,463.5,168,31,139.11,0
3361,182.5,387.5,77,37,154.43,0
3361,216.5,223,89,22,70.51,1
3361,329.54,100.96,88.66,24.08,113.71,0
3361,25,77.5,50,23,179.69,0
3362,374.5,442,79,36,22.48,0
3362,230.5,346.5,77,29,122.19,0
3362,410,341,90,44,21.3,0
3362,54,308,66,24,77.11,0
3362,240,220.5,84,25,104.05,1
3363,242,225.5,152,45,113.36,1
3364,369,436.5,56,23,92.12,0
3364,266.44,195.56,97.59,24.53,76.1,1
3364,175,176,64,22,171.63,0
3364,280.5,151,69,22,70.51,0
3364,39,95,78,28,113.26,0
3365,36,467.5,50,23,89.12,0
3365,340,241,78,22,177.05,0
3365,168,202.5,80,23,162.03,1
3365,374,72,70,32,177.74,0
3366,224,204.5,80,21,83.9,1
3366,446.5,12.5,65,25,129.93,0
3366,206,13,66,26,174.4,0
3367,227.56,211.07,93.4,25.7,81.5,1
3367,131.5,172.5,65,27,139.24,0
3368,288,233.5,96,29,61.75,1
3369,352,166,70,22,191.58,1
3370,264.5,165,67,22,72.59,0
3370,357.5,161,111,30,91.54,1
3370,318,112,108,28,90.19,0
3370,158.5,83.5,61,19,205.99,0
3370,423.06,83.21,87.27,30.99,53.51,0
3371,38.5,218,77,38,146.35,0
3371,263.5,191.5,97,23,67.61,1
3371,409,155,60,26,111.21,0
3371,70.4,134.53,132.24,50.9,113.54,0
3371,241,15.5,78,31,105.83,0
3372,310.5,138.5,73,21,176.76,1
3373,200.5,421.5,61,23,116.49,0
3373,190.5,213.5,91,23,85.96,1
3373,228.5,112,63,22,64.67,0
3374,229,422,68,26,125.6,0
3374,213,232,104,20,103.16,1
3374,57.5,219,49,24,77.96,0
3375,386,443.5,48,23,139.35,0
3375,217,208.5,110,25,139.53,1
3375,156,161.5,94,43,145.32,0
3376,254,246,86,26,140.4,1
3376,237.5,197.5,59,25,169.3,0
3376,319,9.5,72,19,81.63,0
3377,216,243,92,24,8.03,1
3377,182.5,170.5,77,17,2.98,0
3377,370.5,172,81,30,19.53,0
3378,251,329.5,94.79,40.36,168.84,0
3378,277,165.5,100,23,35.38,1
3378,58.5,89.2,103.51,49.19,87.97,0
3379,176,201,86,24,30.53,1
3380,212.5,213,61,24,87.43,1
3381,201,442.5,56,25,163.13,0
3381,266,226.5,106,27,129.59,1
3381,37.5,40,75,36,78.31,0
3382,56.92,319.33,120.29,55.26,76.51,0
3382,303,220.5,84,21,142.8,1
3382,331.5,97,117,48,169.56,0
3383,258,210.5,98,25,74.38,1
3384,361,458.5,72,27,179.81,0
3384,83.5,316,115,40,112.29,0
3384,267,186,96,26,147.32,1
3385,264.5,214.5,95,25,85.61,1
3385,131.5,185.5,77,31,105.15,0
3386,204,219,84,26,64.02,1
3386,431.5,116.5,95,25,110.07,0
3386,444.5,85,69,28,104.84,0
3387,381,241,92,26,100.02,1
3387,397.5,205.5,77,25,86.99,0
3387,283.5,191.5,73,27,102.55,0
3387,304.5,42.5,57,25,120.07,0
3387,293.5,13,61,26,121.74,0
3388,303.5,410.5,63,23,84.52,0
3388,70,409.5,66,31,183.93,0
3388,172,213,82,20,71.33,1
3388,287,14.5,110,29,212.4,0
3389,216,233.5,72,27,114.28,1
3390,275.5,405.5,71,21,101.71,0
3390,261,170,90,38,44.52,1
3391,361.5,248,59,28,196,0
3391,186,180.5,88,25,34.95,1
3392,225.14,252.31,100.64,36.16,70.61,0
3392,352.5,180,51,22,79.96,0
3392,275.81,191.71,131.94,45.12,75.47,1
3392,257.5,98,71,26,59.03,0
3392,431.5,46.5,95,43,153.47,0
3393,160.5,457,57,22,169.94,0
3393,53.5,219.5,67,33,152.23,0
3393,208,191.5,84,31,146.57,1
3393,365.31,184.81,115.53,29.73,145.04,0
3394,264,216,84,32,144.78,1
3394,84.5,115.5,87,27,129.27,0
3395,48.5,439,77,26,166.38,0
3395,266.13,370.75,119.34,46.32,93.58,0
3395,348.5,161,85,26,89.97,1
3396,94,468,84,22,133.34,0
3396,446,406.5,50,23,132.77,0
3396,329.5,148.5,83,23,153.28,1
3396,156.18,119.14,120.11,57.54,128.34,0
3397,355.5,400.5,61,25,97.63,0
3397,225,218,94,26,107.79,1
3398,228,172,110,24,56.03,1
3399,274.5,179.5,95,25,54.34,1
3399,348,123.5,68,29,125.02,0
3399,63.5,15.5,127,31,82.61,0
3400,241,235,90,24,68.66,1
3401,365.5,147.5,79,21,165.28,1
3401,297,17,84,34,177.93,0
3402,456,302,96,46,103.47,0
3402,212.5,223.5,105,27,87.89,1
3402,310,191,54,22,83.92,0
3402,77.42,184.48,118.61,38.43,227.55,0
3403,235.5,239.5,77,25,117.83,1
3403,391,191,86,38,137.87,0
3403,355.5,11.5,47,23,152.65,0
3403,296.5,12,67,24,194.03,0
3404,448.5,201,61,20,92.27,0
3404,233.38,208.67,112.1,45.71,56.63,1
3404,384.5,143.5,85,39,217.81,0
3404,158.5,27.5,81,19,79.37,0
3404,415.5,19.5,95,39,216.85,0
3405,247.54,455,174.46,52.51,82.6,0
3405,320,295.5,92,29,126.31,0
3405,259,202,92,26,84.18,1
3406,281,219,88,24,87.56,1
3406,62.78,223.69,139.09,38.62,105.29,0
3407,122.5,468,59,22,128.53,0
3407,245.5,331.5,91,35,45.13,0
3407,286,205.5,88,23,71.09,1
3408,171.5,438.5,55,19,33.01,0
3408,344.5,171,93,24,160.36,1
3408,64,119,62,30,112.75,0
3409,209,417,50,22,124,0
3409,251,233.5,102,25,55.61,1
3409,436.06,89.21,94.95,37.38,67.51,0
3410,438,463,82,32,157.76,0
3410,398.08,421.94,164.26,47.28,146.86,0
3410,393.63,361.7,97.42,40.2,152.16,0
3410,432,282,86,24,166.08,0
3410,245.5,237,85,24,136.17,1
3410,11.5,212.5,59,23,121.14,0
3411,391.5,221.5,97,23,140.45,1
3411,44,101,88,30,118.41,0
3411,175,74,54,24,180.09,0
3412,102.5,376,89,28,82.14,0
3412,440.36,275.37,92.29,31.65,81.33,0
3412,243.57,206.12,93.56,25.68,105.72,1
3412,228,27.5,114,55,132.39,0
3413,218,262.5,124,29,124.33,1
3413,179.5,13.5,59,21,107.87,0
3414,395.29,394.53,114.16,48.28,69.72,0
3414,279,248,96,24,58.4,1
3414,403,180,54,26,138.38,0
3414,461,146.5,95,36,94.27,0
3414,168.06,75.95,77.91,28.54,152.66,0
3414,188.5,18,81,28,176.59,0
3415,32.5,465,65,28,114.22,0
3415,27.5,235,55,26,215.06,0
3415,230,224.08,96.47,25.6,69.23,1
3416,248.5,357,71,34,128.59,0
3416,248.5,255.5,57,23,101.75,0
3416,291,230.5,78,25,144.56,0
3416,156.5,130.5,95,41,136.43,1
3417,196.53,161.77,101.85,24.2,103.96,1
3417,221,119.5,74,27,90.52,0
3417,88,77.5,62,25,162.55,0
3418,245.5,237.5,63,25,93.25,1
3418,230.5,183,93,24,169.25,0
3418,357.5,146.5,95,39,108.61,0
3418,75.5,16.5,125,33,122.62,0
3419,224,194,100,24,81.79,1
3419,348,152,52,24,175.94,0
3419,371.5,122,51,24,154.92,0
3419,213.46,49.4,107.93,35.63,152.57,0
3419,121.5,18,91,36,179.56,0
3420,352,463.5,86,31,77.48,0
3420,243.5,228,95,26,55.05,1
3420,346,214.5,80,33,48.75,0
3420,226.5,135.5,85,37,70.39,0
3420,182.5,68,53,22,138.13,0
3421,150,221,56,20,124.45,0
3421,250,215.5,96,25,9.5,1
3421,213.5,186.5,87,17,28.26,0
3421,103.5,181.5,101,25,53.82,0
3421,151,119.5,88,39,19.15,0
3422,224,223,102,26,103.87,1
3422,229.5,115,63,22,96.48,0
3423,205,228.5,82,23,102.69,1
3423,446,76.5,60,19,130.94,0
3423,316.03,14.28,93.28,25.61,53.03,0
3424,235.5,251,91,24,25.97,1
3424,389.5,152,65,30,22.31,0
3424,100.5,9.5,63,19,26.81,0
3425,200.93,208.63,81.97,27.32,134.41,1
3425,74.5,183.44,79.62,22.62,72.98,0
3425,40,80,83.19,32.04,75.48,0
3425,351.5,18.5,75,37,172.71,0
3425,125.5,13,87,26,185.96,0
3426,165.49,225.4,87.4,26.83,148.24,1
3426,181.5,16.5,67,29,58.48,0
3427,419.5,434,51,24,76.15,0
3427,308.5,211.5,99,41,39.13,1
3427,150.5,162.5,49,23,67.77,0
3427,56.5,140,93,42,181.4,0
3428,43.5,208.5,63,27,59.89,0
3428,238.5,201.5,91,23,127.27,1
3428,67.5,134,59,22,91.5,0
3428,336,113,46,22,159.55,0
3429,297.5,463.5,83,31,78.45,0
3429,379,444,62,24,160.11,0
3429,163,450,78,38,142.12,0
3429,245.99,428.23,93.84,33,94.36,0
3429,220.1,208.35,135.28,27.8,89.38,1
3429,257.81,123.01,125.56,30.02,64.74,0
3429,278,58.5,70,21,85.31,0
3430,217,187.5,96,23,45.46,1
3431,328.5,205.5,75,23,237.44,0
3431,205.5,198.5,83,27,97.06,1
3431,131,59,66,18,113.55,0
3431,412,14.5,62,29,130.43,0
3432,170.5,466,69,26,63.7,0
3432,247.08,214.54,96.29,26.54,144.3,1
3432,352,212,62,24,240.44,0
3432,32.5,102,65,18,41.51,0
3433,302.5,364,71,24,69.15,0
3433,221.5,337.5,79,17,216.64,0
3433,280.5,207,97,28,97.33,1
3433,136,185.5,80,37,134.61,0
3433,127.5,127.5,127,43,99.25,0
3434,267.5,334.5,55,23,105.99,0
3434,253,279,52,20,91.68,0
3434,296.5,247.5,119,53,87.78,0
3434,235.5,192,115,24,67.66,1
3434,264,112,72,18,93.71,0
3434,57,70,114,42,149.8,0
3435,285,195.5,88,23,69.24,1
3436,234,183,84,24,117.44,1
3437,235.5,197,79,22,83.08,1
3437,67,40.5,90,33,77.94,0
3438,319.18,226.92,83.03,30.93,87.72,0
3438,240,215,68,24,4.22,1
3438,112.81,171.66,146.66,34.26,85.8,0
3439,274.49,180.59,82.93,24.08,77.4,1
3439,430,147.5,58,25,154.32,0
3439,356,26.5,60,29,174.33,0
3440,430.78,450.78,111.39,40.97,166.06,0
3440,44.15,374.14,110.56,37.14,154.72,0
3440,283.34,221.5,86.01,35.15,70.68,1
3440,188.5,145.5,57,19,80.45,0
3440,291.5,17,71,34,51.88,0
3441,237,219.5,104,47,79.03,1
3441,183.5,162,99,46,104.87,0
3441,136.5,25.5,77,23,195.03,0
3442,109.5,459.5,135,39,184.35,0
3442,72.5,338.5,71,27,124.42,0
3442,265.99,210.54,122.75,27.82,60.96,1
3443,150,467.5,66,23,126.14,0
3443,193,238.5,130,25,92.19,1
3443,190,187,50,22,95.3,0
3443,422,25,114,50,115.4,0
3444,268,229.5,86,23,133.9,1
3445,429,365.5,56,25,72.97,0
3445,434.78,329.34,99.92,31.78,51.01,0
3445,432.28,296.18,100.89,32.69,40.12,0
3445,238,218,70,28,111.57,1
3445,149.5,139,65,22,134.93,0
3445,436.5,111,69,22,29.97,0
3445,451.5,11,55,22,40.98,0
3445,358.47,20.25,126.86,32.73,15.91,0
3446,307.5,398,51,22,174,0
3446,212.5,188,101,42,115.43,1
3447,337.5,309.5,111,47,158.29,0
3447,378,186.5,54,21,143.85,0
3447,176,184,80,36,81.85,1
3447,34.5,156,63,26,8.9,0
3447,372.5,80,51,20,102.41,0
3448,57,411.5,48,23,90.4,0
3448,268,237,84,32,145.89,1
3448,96.89,92.12,101.32,30.39,98.33,0
3449,257,228.5,62,27,102.78,1
3449,465,228,58,28,125.88,0
3450,131.5,326,83,26,119.79,0
3450,227,222,92,44,76.51,1
3450,442,161,74,34,65.94,0
3450,170.5,152,83,40,127.19,0
3450,90,11.5,74,23,223.9,0
3451,424,315,62,26,39.33,0
3451,180.5,212,91,30,68.61,1
3451,370,207,132,36,27.48,0
3451,371,61,68,26,127.57,0
3451,321.5,13,91,26,209.66,0
3452,323.5,466,61,26,124.93,0
3452,266,212.5,96,27,96.84,1
3452,46.5,125,93,32,130.26,0
3453,188,185,84,24,74.51,1
3453,93.38,90.67,117.61,33.94,137.14,0
3453,430.22,35.09,106.4,44.44,173.31,0
3454,187.5,208.5,103,25,92.94,1
3454,313.5,179.5,63,27,64.62,0
3454,80,17,88,34,115.25,0
3455,262,464,136,30,192.22,0
3455,178,420,54,24,132.47,0
3455,232,216,106,26,83.65,1
3456,307.5,216,93,28,1.72,1
3456,162,87,60,22,3.7,0
3456,297,48,72,28,21.49,0
3457,183,221,84,24,112.74,1
3458,290.55,224.54,95.36,24.86,89,1
3458,174.5,209,49,24,155.09,0
3459,299,204.5,120,25,0.07,1
3460,315.97,151.13,102.32,23.78,110.86,1
3460,41.5,97,83,26,200.36,0
3461,201,193.5,100,25,84.13,1
3461,326,152.5,60,25,75.85,0
3461,90,153,66,26,181.15,0
3461,342.5,92.5,63,29,74.82,0
3462,216,223,72,22,84.86,1
3462,179.5,64,49,24,169.63,0
3463,254,414,62,22,18.87,0
3463,237.5,197,107,40,54.08,1
3464,356,452,68,28,76.33,0
3464,407.5,247,75,34,60.85,0
3464,122.5,215.5,59,21,49.71,0
3464,232.5,211.5,75,35,32.13,1
3464,59.5,186.5,119,47,82.04,0
3465,430.31,346.8,99.96,43.25,130.17,0
3465,218,224,84,26,113.05,1
3465,193.5,178,99,30,147.64,0
3466,262.5,187.5,101,25,113.25,1
3466,331.5,15,137,30,197.53,0
3467,41,349.5,50,21,41.4,0
3467,291,222,92,24,72.63,1
3467,429.5,186.5,67,29,75.33,0
3467,338.19,183.5,109.9,25.49,86.66,0
3467,417.5,144,123,30,79.72,0
3467,129.5,132,55,26,17.19,0
3467,270.48,139.72,95.81,46.53,93.24,0
3468,272.5,187,81,30,58.24,1
3468,38.5,93.5,77,27,196.92,0
3468,104,84.5,50,21,172.59,0
3469,304.96,268.25,93.03,23.67,74.48,1
3469,47.27,138.78,97.81,31.74,65.44,0
3469,177,88,52,22,181.61,0
3469,284,17.5,110,35,153.84,0
3470,243,208.5,72,25,69.36,1
3471,444.5,244,65,24,136.28,0
3471,291,215.48,101.02,21.92,107.47,1
3471,291,36.5,66,27,142.85,0
